Date_UTC,Year,Month,Day,Hour,T,Date
6/11/2019 3:00,2019,6,11,3,-6.791,6/11/2019 8:45
6/11/2019 4:00,2019,6,11,4,-5.522,6/11/2019 9:45
6/11/2019 5:00,2019,6,11,5,-4.009,6/11/2019 10:45
6/11/2019 6:00,2019,6,11,6,-3.469,6/11/2019 11:45
6/11/2019 7:00,2019,6,11,7,-3.104,6/11/2019 12:45
6/11/2019 8:00,2019,6,11,8,-2.214,6/11/2019 13:45
6/11/2019 9:00,2019,6,11,9,-3.071,6/11/2019 14:45
6/11/2019 10:00,2019,6,11,10,-4.379,6/11/2019 15:45
6/11/2019 11:00,2019,6,11,11,-5.375,6/11/2019 16:45
6/11/2019 12:00,2019,6,11,12,-6.245,6/11/2019 17:45
6/11/2019 13:00,2019,6,11,13,-5.974,6/11/2019 18:45
6/11/2019 14:00,2019,6,11,14,-6.512,6/11/2019 19:45
6/11/2019 15:00,2019,6,11,15,-5.908,6/11/2019 20:45
6/11/2019 16:00,2019,6,11,16,-6.741,6/11/2019 21:45
6/11/2019 17:00,2019,6,11,17,-7.474,6/11/2019 22:45
6/11/2019 18:00,2019,6,11,18,-8.33,6/11/2019 23:45
6/11/2019 19:00,2019,6,11,19,-8.61,6/12/2019 0:45
6/11/2019 20:00,2019,6,11,20,-8.67,6/12/2019 1:45
6/11/2019 21:00,2019,6,11,21,-9.49,6/12/2019 2:45
6/11/2019 22:00,2019,6,11,22,-9.31,6/12/2019 3:45
6/11/2019 23:00,2019,6,11,23,-8.12,6/12/2019 4:45
6/12/2019 0:00,2019,6,12,0,-7.207,6/12/2019 5:45
6/12/2019 1:00,2019,6,12,1,-7.61,6/12/2019 6:45
6/12/2019 2:00,2019,6,12,2,-6.851,6/12/2019 7:45
6/12/2019 3:00,2019,6,12,3,-6.158,6/12/2019 8:45
6/12/2019 4:00,2019,6,12,4,-3.975,6/12/2019 9:45
6/12/2019 5:00,2019,6,12,5,-2.724,6/12/2019 10:45
6/12/2019 6:00,2019,6,12,6,-3.582,6/12/2019 11:45
6/12/2019 7:00,2019,6,12,7,-2.864,6/12/2019 12:45
6/12/2019 8:00,2019,6,12,8,-1.258,6/12/2019 13:45
6/12/2019 9:00,2019,6,12,9,-2.181,6/12/2019 14:45
6/12/2019 10:00,2019,6,12,10,-1.573,6/12/2019 15:45
6/12/2019 11:00,2019,6,12,11,-3.06,6/12/2019 16:45
6/12/2019 12:00,2019,6,12,12,-4.369,6/12/2019 17:45
6/12/2019 13:00,2019,6,12,13,-3.595,6/12/2019 18:45
6/12/2019 14:00,2019,6,12,14,-5.724,6/12/2019 19:45
6/12/2019 15:00,2019,6,12,15,-4.324,6/12/2019 20:45
6/12/2019 16:00,2019,6,12,16,-4.44,6/12/2019 21:45
6/12/2019 17:00,2019,6,12,17,-4.965,6/12/2019 22:45
6/12/2019 18:00,2019,6,12,18,-5.447,6/12/2019 23:45
6/12/2019 19:00,2019,6,12,19,-7.185,6/13/2019 0:45
6/12/2019 20:00,2019,6,12,20,-7.38,6/13/2019 1:45
6/12/2019 21:00,2019,6,12,21,-8.79,6/13/2019 2:45
